"no_heading_1"	"no_heading_2"	"no_heading_3"	"no_heading_4"	"no_heading_5"	"no_heading_6"	"no_heading_7"	"no_heading_8"	"no_heading_9"	"no_heading_10"	"no_heading_11"	"no_heading_12"	"no_heading_13"	"no_heading_14"	"no_heading_15"	"no_heading_16"	"no_heading_17"	"no_heading_18"	"no_heading_19"	"no_heading_20"	"no_heading_21"
"HCrO4-"	1.211481457300180e-09	"CrOH+2"	1.024008244809436e-09	"Cr(OH)2+"	1.547978390672756e-10	"pH"	5.000000000000000e+00	"pe"	1.059014864636063e+01	"PO2"	-1.982412100000001e+01	"PH2"	-3.110681739124888e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.144176582204145e-09	"CrOH+2"	1.077929200642156e-09	"Cr(OH)2+"	1.629489916385958e-10	"pH"	5.000000000000000e+00	"pe"	1.057444514635985e+01	"PO2"	-1.988693499999999e+01	"PH2"	-3.107541039124732e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.110720297928475e-09	"CrOH+2"	1.104732525253806e-09	"Cr(OH)2+"	1.670008112872490e-10	"pH"	5.000000000000000e+00	"pe"	1.056659339635946e+01	"PO2"	-1.991834200000000e+01	"PH2"	-3.105970689124654e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.118077579469228e-09	"HCrO4-"	1.094062812909413e-09	"Cr(OH)2+"	1.690181637487244e-10	"pH"	5.000000000000000e+00	"pe"	1.056266764635926e+01	"PO2"	-1.993404500000000e+01	"PH2"	-3.105185539124615e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.110720297928475e-09	"CrOH+2"	1.104732525253806e-09	"Cr(OH)2+"	1.670008112872490e-10	"pH"	5.000000000000000e+00	"pe"	1.056659339635946e+01	"PO2"	-1.991834200000000e+01	"PH2"	-3.105970689124654e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.111409803862166e-09	"HCrO4-"	1.102385624685862e-09	"Cr(OH)2+"	1.680102057954428e-10	"pH"	5.000000000000000e+00	"pe"	1.056463064635936e+01	"PO2"	-1.992619300000000e+01	"PH2"	-3.105578139124635e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.110720297928475e-09	"CrOH+2"	1.104732525253806e-09	"Cr(OH)2+"	1.670008112872490e-10	"pH"	5.000000000000000e+00	"pe"	1.056659339635946e+01	"PO2"	-1.991834200000000e+01	"PH2"	-3.105970689124654e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.108072846895663e-09	"HCrO4-"	1.106550861428919e-09	"Cr(OH)2+"	1.675057628578880e-10	"pH"	5.000000000000000e+00	"pe"	1.056561189635941e+01	"PO2"	-1.992226800000000e+01	"PH2"	-3.105774389124644e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.110720297928475e-09	"CrOH+2"	1.104732525253806e-09	"Cr(OH)2+"	1.670008112872490e-10	"pH"	5.000000000000000e+00	"pe"	1.056659339635946e+01	"PO2"	-1.991834200000000e+01	"PH2"	-3.105970689124654e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.255968083643178e-09	"HCrO4-"	9.219458658520824e-10	"Cr(OH)2+"	1.898628709707920e-10	"pH"	5.000000000000000e+00	"pe"	1.052105314635726e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096862639124215e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.346283239106239e-09	"CrOH+2"	9.160124385920136e-10	"Cr(OH)2+"	1.384722699070999e-10	"pH"	5.000000000000000e+00	"pe"	1.062155589636220e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963189125202e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.429749174481251e-09	"CrOH+2"	8.467233484910619e-10	"Cr(OH)2+"	1.340556853095423e-10	"pH"	5.020100500000000e+00	"pe"	1.060145540659467e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963191171697e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.189165035878578e-09	"HCrO4-"	1.002887458363340e-09	"Cr(OH)2+"	1.882720419862733e-10	"pH"	5.020100500000000e+00	"pe"	1.050095265658971e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096862641170705e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.255968083643178e-09	"HCrO4-"	9.219458658520824e-10	"Cr(OH)2+"	1.898628709707920e-10	"pH"	5.000000000000000e+00	"pe"	1.052105314635726e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096862639124215e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.108072846895663e-09	"HCrO4-"	1.106550861428919e-09	"Cr(OH)2+"	1.675057628578880e-10	"pH"	5.000000000000000e+00	"pe"	1.056561189635941e+01	"PO2"	-1.992226800000000e+01	"PH2"	-3.105774389124644e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.255968083643178e-09	"HCrO4-"	9.219458658520824e-10	"Cr(OH)2+"	1.898628709707920e-10	"pH"	5.000000000000000e+00	"pe"	1.052105314635726e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096862639124215e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.346283239106239e-09	"CrOH+2"	9.160124385920136e-10	"Cr(OH)2+"	1.384722699070999e-10	"pH"	5.000000000000000e+00	"pe"	1.062155589636220e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963189125202e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.429749174481251e-09	"CrOH+2"	8.467233484910619e-10	"Cr(OH)2+"	1.340556853095423e-10	"pH"	5.020100500000000e+00	"pe"	1.060145540659467e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963191171697e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.189165035878578e-09	"HCrO4-"	1.002887458363340e-09	"Cr(OH)2+"	1.882720419862733e-10	"pH"	5.020100500000000e+00	"pe"	1.050095265658971e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096862641170705e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.189165035878578e-09	"HCrO4-"	1.002887458363340e-09	"Cr(OH)2+"	1.882720419862733e-10	"pH"	5.020100500000000e+00	"pe"	1.050095265658971e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096862641170705e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.429749174481251e-09	"CrOH+2"	8.467233484910619e-10	"Cr(OH)2+"	1.340556853095423e-10	"pH"	5.020100500000000e+00	"pe"	1.060145540659467e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963191171697e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
