"no_heading_1"	"no_heading_2"	"no_heading_3"	"no_heading_4"	"no_heading_5"	"no_heading_6"	"no_heading_7"	"no_heading_8"	"no_heading_9"	"no_heading_10"	"no_heading_11"	"no_heading_12"	"no_heading_13"	"no_heading_14"	"no_heading_15"	"no_heading_16"	"no_heading_17"	"no_heading_18"	"no_heading_19"	"no_heading_20"	"no_heading_21"
"CrOH+2"	5.920369321141892e-09	"HCrO4-"	5.079431672895602e-09	"Cr(OH)2+"	1.001588799440113e-09	"pH"	5.000000000000000e+00	"pe"	1.052731886047083e+01	"PO2"	-2.007537700000000e+01	"PH2"	-3.098115781946928e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	5.744450827432231e-09	"CrOH+2"	5.389657814576351e-09	"Cr(OH)2+"	9.118047552547294e-10	"pH"	5.000000000000000e+00	"pe"	1.055872586047845e+01	"PO2"	-1.994974900000000e+01	"PH2"	-3.104397181948453e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	5.656945278801763e-09	"HCrO4-"	5.409520873345538e-09	"Cr(OH)2+"	9.570235779131837e-10	"pH"	5.000000000000000e+00	"pe"	1.054302236047461e+01	"PO2"	-2.001256300000000e+01	"PH2"	-3.101256481947685e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	5.744450827432231e-09	"CrOH+2"	5.389657814576351e-09	"Cr(OH)2+"	9.118047552547294e-10	"pH"	5.000000000000000e+00	"pe"	1.055872586047845e+01	"PO2"	-1.994974900000000e+01	"PH2"	-3.104397181948453e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	5.576497225815968e-09	"CrOH+2"	5.523691527836363e-09	"Cr(OH)2+"	9.344801423243085e-10	"pH"	5.000000000000000e+00	"pe"	1.055087411047653e+01	"PO2"	-1.998115600000000e+01	"PH2"	-3.102826831948068e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	5.590425599627288e-09	"HCrO4-"	5.492874737269412e-09	"Cr(OH)2+"	9.457699952410320e-10	"pH"	5.000000000000000e+00	"pe"	1.054694836047557e+01	"PO2"	-1.999685900000000e+01	"PH2"	-3.102041681947876e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	5.576497225815968e-09	"CrOH+2"	5.523691527836363e-09	"Cr(OH)2+"	9.344801423243085e-10	"pH"	5.000000000000000e+00	"pe"	1.055087411047653e+01	"PO2"	-1.998115600000000e+01	"PH2"	-3.102826831948068e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	5.557086549987237e-09	"HCrO4-"	5.534650915861000e-09	"Cr(OH)2+"	9.401298034062085e-10	"pH"	5.000000000000000e+00	"pe"	1.054891111047605e+01	"PO2"	-1.998900800000000e+01	"PH2"	-3.102434231947972e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	5.576497225815968e-09	"CrOH+2"	5.523691527836363e-09	"Cr(OH)2+"	9.344801423243085e-10	"pH"	5.000000000000000e+00	"pe"	1.055087411047653e+01	"PO2"	-1.998115600000000e+01	"PH2"	-3.102826831948068e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	5.555566200051553e-09	"CrOH+2"	5.540395320726041e-09	"Cr(OH)2+"	9.373060356021357e-10	"pH"	5.000000000000000e+00	"pe"	1.054989261047629e+01	"PO2"	-1.998508200000001e+01	"PH2"	-3.102630531948020e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	6.024335708445954e-09	"HCrO4-"	4.949154234659073e-09	"Cr(OH)2+"	1.019177494231992e-09	"pH"	5.000000000000000e+00	"pe"	1.052103736046933e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859481946629e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.093888169533667e-09	"CrOH+2"	4.312749809312425e-09	"Cr(OH)2+"	7.296169663498014e-10	"pH"	5.000000000000000e+00	"pe"	1.062154011049392e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960031951546e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.502606994734178e-09	"CrOH+2"	3.970093285502829e-09	"Cr(OH)2+"	7.034314635054738e-10	"pH"	5.020100500000000e+00	"pe"	1.060143961607550e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960033067863e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	5.679375383975869e-09	"HCrO4-"	5.360481622195776e-09	"Cr(OH)2+"	1.006286516678938e-09	"pH"	5.020100500000000e+00	"pe"	1.050093686605098e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859483062959e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	6.024335708445954e-09	"HCrO4-"	4.949154234659073e-09	"Cr(OH)2+"	1.019177494231992e-09	"pH"	5.000000000000000e+00	"pe"	1.052103736046933e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859481946629e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	5.557086549987237e-09	"HCrO4-"	5.534650915861000e-09	"Cr(OH)2+"	9.401298034062085e-10	"pH"	5.000000000000000e+00	"pe"	1.054891111047605e+01	"PO2"	-1.998900800000000e+01	"PH2"	-3.102434231947972e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	6.024335708445954e-09	"HCrO4-"	4.949154234659073e-09	"Cr(OH)2+"	1.019177494231992e-09	"pH"	5.000000000000000e+00	"pe"	1.052103736046933e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859481946629e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.093888169533667e-09	"CrOH+2"	4.312749809312425e-09	"Cr(OH)2+"	7.296169663498014e-10	"pH"	5.000000000000000e+00	"pe"	1.062154011049392e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960031951546e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.502606994734178e-09	"CrOH+2"	3.970093285502829e-09	"Cr(OH)2+"	7.034314635054738e-10	"pH"	5.020100500000000e+00	"pe"	1.060143961607550e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960033067863e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	5.679375383975869e-09	"HCrO4-"	5.360481622195776e-09	"Cr(OH)2+"	1.006286516678938e-09	"pH"	5.020100500000000e+00	"pe"	1.050093686605098e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859483062959e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	5.679375383975869e-09	"HCrO4-"	5.360481622195776e-09	"Cr(OH)2+"	1.006286516678938e-09	"pH"	5.020100500000000e+00	"pe"	1.050093686605098e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859483062959e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.502606994734178e-09	"CrOH+2"	3.970093285502829e-09	"Cr(OH)2+"	7.034314635054738e-10	"pH"	5.020100500000000e+00	"pe"	1.060143961607550e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960033067863e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.896617434989245e-09	"CrOH+2"	3.637047529824370e-09	"Cr(OH)2+"	6.749159571713621e-10	"pH"	5.040201000000000e+00	"pe"	1.058133912187563e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116960034227888e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	5.777005008784423e-09	"CrOH+2"	5.327443728582450e-09	"Cr(OH)2+"	9.885976916102158e-10	"pH"	5.040201000000000e+00	"pe"	1.048083637185140e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859484223042e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	7.235164218813636e-09	"HCrO4-"	3.410704781669728e-09	"Cr(OH)2+"	1.281945234365181e-09	"pH"	5.020100500000000e+00	"pe"	1.040043436602867e+01	"PO2"	-2.050251299999999e+01	"PH2"	-3.076758983058496e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	6.937938379511382e-09	"HCrO4-"	3.757567684782802e-09	"Cr(OH)2+"	1.287452337770355e-09	"pH"	5.040201000000000e+00	"pe"	1.038033387182831e+01	"PO2"	-2.050251300000000e+01	"PH2"	-3.076758984218425e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	6.194626301225947e-09	"CrOH+2"	4.972232316716074e-09	"Cr(OH)2+"	9.663422458308115e-10	"pH"	5.060301500000000e+00	"pe"	1.046073587787961e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859485428683e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	6.623865440253848e-09	"HCrO4-"	4.121617670325109e-09	"Cr(OH)2+"	1.287333459332917e-09	"pH"	5.060301500000000e+00	"pe"	1.036023337785594e+01	"PO2"	-2.050251299999999e+01	"PH2"	-3.076758985423950e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	6.609179454359647e-09	"CrOH+2"	4.617478245624499e-09	"Cr(OH)2+"	9.398583504025166e-10	"pH"	5.080402000000000e+00	"pe"	1.044063538414483e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859486681728e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	6.295303425713851e-09	"HCrO4-"	4.500407664678843e-09	"Cr(OH)2+"	1.281369008677926e-09	"pH"	5.080402000000000e+00	"pe"	1.034013288412078e+01	"PO2"	-2.050251300000001e+01	"PH2"	-3.076758986676918e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	7.016585320544343e-09	"CrOH+2"	4.266826788113024e-09	"Cr(OH)2+"	9.095774340643817e-10	"pH"	5.100502500000000e+00	"pe"	1.042053489065648e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096859487984059e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	5.955025855803283e-09	"HCrO4-"	4.890991991347236e-09	"Cr(OH)2+"	1.269457946256393e-09	"pH"	5.100502500000000e+00	"pe"	1.032003239063227e+01	"PO2"	-2.050251299999999e+01	"PH2"	-3.076758987979217e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
